#Time Size
19 3
24 3
23 3
27 3
26 3
22 3
22 3
23 3
23 3
24 3
39 4
30 4
31 4
41 4
39 4
49 4
30 4
30 4
35 4
35 4
51 5
55 5
39 5
38 5
52 5
41 5
40 5
48 5
48 5
38 5
50 6
50 6
64 6
67 6
61 6
61 6
73 6
73 6
69 6
80 6
86 7
85 7
94 7
76 7
76 7
82 7
84 7
132 7
82 7
89 7
111 8
94 8
75 8
76 8
94 8
77 8
75 8
75 8
94 8
75 8
91 9
117 9
117 9
125 9
129 9
131 9
146 9
121 9
93 9
92 9
111 10
111 10
110 10
109 10
166 10
162 10
164 10
179 10
178 10
120 10
145 11
176 11
237 11
186 11
150 11
132 11
133 11
140 11
132 11
172 11
170 12
155 12
155 12
155 12
183 12
176 12
158 12
156 12
204 12
207 12
237 13
235 13
225 13
228 13
267 13
270 13
246 13
246 13
258 13
258 13
262 14
261 14
283 14
293 14
256 14
209 14
208 14
208 14
228 14
208 14
241 15
238 15
238 15
277 15
239 15
238 15
240 15
281 15
277 15
338 15
268 16
269 16
344 16
355 16
269 16
267 16
267 16
316 16
315 16
350 16
414 17
428 17
331 17
337 17
332 17
350 17
303 17
309 17
355 17
356 17
427 18
423 18
462 18
478 18
478 18
336 18
337 18
431 18
338 18
338 18
371 19
413 19
455 19
452 19
457 19
424 19
396 19
398 19
441 19
425 19
415 20
411 20
414 20
523 20
562 20
430 20
414 20
485 20
485 20
570 20
571 21
452 21
453 21
533 21
571 21
585 21
480 21
518 21
556 21
551 21
499 22
503 22
577 22
563 22
627 22
497 22
501 22
510 22
505 22
508 22
545 23
539 23
544 23
546 23
598 23
639 23
653 23
638 23
641 23
560 23
608 24
592 24
588 24
594 24
601 24
827 24
694 24
873 24
591 24
588 24
637 25
701 25
801 25
805 25
637 25
638 25
635 25
723 25
722 25
635 25
686 26
864 26
718 26
687 26
686 26
688 26
749 26
797 26
694 26
687 26
932 27
864 27
740 27
740 27
739 27
739 27
755 27
914 27
867 27
810 27
874 28
805 28
790 28
795 28
882 28
875 28
799 28
794 28
834 28
792 28
915 29
904 29
854 29
1011 29
1003 29
998 29
853 29
858 29
853 29
858 29
899 30
1087 30
1082 30
908 30
994 30
907 30
947 30
908 30
911 30
911 30
969 31
968 31
1066 31
988 31
1062 31
1072 31
1089 31
1155 31
1188 31
1175 31
1215 32
1720 32
1042 32
1030 32
1090 32
1101 32
1169 32
1039 32
1317 32
1036 32
1100 33
1094 33
1134 33
1336 33
1242 33
1089 33
1246 33
1235 33
1090 33
1333 33
1160 34
1163 34
1367 34
1396 34
1165 34
1189 34
1164 34
1163 34
1276 34
1273 34
1238 35
1349 35
1353 35
1232 35
1231 35
1350 35
1392 35
1565 35
1240 35
1402 35
1439 36
1311 36
1302 36
1296 36
1303 36
1436 36
1430 36
1297 36
1423 36
1352 36
1518 37
1514 37
1514 37
1610 37
1368 37
1411 37
1440 37
1376 37
1396 37
1388 37
1482 38
1452 38
1454 38
1468 38
1474 38
1451 38
1441 38
1456 38
1534 38
1638 38
1544 39
1544 39
1619 39
1523 39
1528 39
1573 39
1544 39
1664 39
1726 39
1526 39
1601 40
1611 40
1648 40
1594 40
1605 40
1608 40
1879 40
1597 40
1597 40
1593 40
1679 41
1679 41
1677 41
1700 41
1691 41
1680 41
1678 41
1691 41
1683 41
1729 41
1885 42
1786 42
1764 42
1879 42
1785 42
1959 42
1860 42
1760 42
1757 42
1757 42
1995 43
1878 43
1968 43
1843 43
1856 43
2022 43
1933 43
2040 43
1849 43
1864 43
2066 44
1943 44
2121 44
1955 44
1937 44
1925 44
1942 44
2217 44
1991 44
2001 44
2408 45
2013 45
2029 45
2028 45
2041 45
2014 45
2189 45
2012 45
2021 45
2221 45
2179 46
2101 46
2128 46
2383 46
2136 46
2105 46
2243 46
2102 46
2119 46
2102 46
2192 47
2249 47
2231 47
2204 47
2215 47
2198 47
2195 47
2186 47
2200 47
2205 47
2305 48
2319 48
2323 48
2320 48
2312 48
2356 48
2315 48
2343 48
2328 48
2323 48
2430 49
2592 49
2417 49
2431 49
2424 49
2425 49
2424 49
2430 49
2419 49
2424 49
2533 50
2572 50
2518 50
2529 50
2564 50
2538 50
2521 50
2608 50
2529 50
2521 50
2646 51
2692 51
2628 51
2624 51
2609 51
2632 51
2778 51
2630 51
2669 51
2619 51
2875 52
2727 52
2728 52
2765 52
2750 52
2744 52
2764 52
2815 52
2725 52
2757 52
2818 53
2817 53
2840 53
2819 53
2879 53
2910 53
2817 53
2976 53
2835 53
2837 53
2937 54
2941 54
2939 54
2936 54
2928 54
2936 54
2935 54
2937 54
3074 54
2947 54
3088 55
3046 55
3311 55
3096 55
3038 55
3043 55
3077 55
3049 55
3033 55
3049 55
3228 56
3168 56
3165 56
3165 56
3159 56
3355 56
3148 56
3149 56
3154 56
3155 56
3266 57
3258 57
3258 57
3275 57
3280 57
3281 57
3281 57
3260 57
3305 57
3278 57
3568 58
3409 58
3380 58
3376 58
3372 58
3438 58
3391 58
3378 58
3384 58
3372 58
3631 59
3521 59
3500 59
3506 59
3493 59
3516 59
3530 59
3522 59
3529 59
3497 59
3688 60
3613 60
3928 60
3657 60
3648 60
3614 60
3610 60
3614 60
3602 60
3633 60
3742 61
3836 61
3764 61
3826 61
3769 61
3739 61
3752 61
3778 61
3764 61
3743 61
3895 62
3878 62
3929 62
4012 62
3914 62
3953 62
3854 62
3884 62
3866 62
3867 62
3975 63
4091 63
3977 63
4061 63
3973 63
4081 63
3976 63
3984 63
3987 63
4003 63
4164 64
4116 64
4130 64
4145 64
4205 64
4138 64
4178 64
4114 64
4206 64
4119 64
4288 65
4254 65
4271 65
4264 65
4272 65
4250 65
4237 65
4288 65
4250 65
4254 65
4376 66
4376 66
4358 66
4366 66
2937 66
4471 66
4353 66
4383 66
4386 66
4371 66
4497 67
4508 67
4484 67
4506 67
4484 67
4511 67
4487 67
4500 67
4532 67
4513 67
4605 68
4637 68
4634 68
4637 68
4656 68
4665 68
4632 68
4639 68
4679 68
4638 68
4807 69
4781 69
4819 69
4794 69
4823 69
4779 69
5133 69
4805 69
4789 69
4780 69
4956 70
4925 70
5023 70
4915 70
4940 70
4907 70
4905 70
4908 70
4914 70
4946 70
5061 71
5080 71
5063 71
5141 71
5031 71
5152 71
5038 71
5050 71
5062 71
5048 71
5184 72
5185 72
5237 72
5222 72
5271 72
5218 72
5255 72
5221 72
5230 72
5268 72
5322 73
5367 73
5338 73
5369 73
5391 73
5355 73
5328 73
5365 73
5410 73
5366 73
5523 74
5494 74
5494 74
7256 74
5473 74
5987 74
5481 74
5470 74
5482 74
5496 74
5666 75
5617 75
5712 75
5600 75
5601 75
5668 75
5607 75
5708 75
5623 75
5630 75
5733 76
5741 76
5834 76
5779 76
5877 76
5781 76
5729 76
7712 76
5725 76
5732 76
5941 77
5926 77
5893 77
5902 77
5918 77
5941 77
5959 77
5895 77
5877 77
5874 77
6057 78
6023 78
6033 78
6168 78
6024 78
6078 78
6025 78
6045 78
6118 78
6129 78
6201 79
6377 79
6232 79
6235 79
6231 79
6202 79
6231 79
6234 79
6201 79
6269 79
6706 80
6341 80
6357 80
6349 80
6400 80
6339 80
6338 80
6450 80
6350 80
6364 80
6608 81
6545 81
6509 81
6606 81
6529 81
6512 81
6509 81
6542 81
6513 81
6551 81
6686 82
6723 82
6660 82
6642 82
6699 82
6839 82
6662 82
6658 82
6726 82
6645 82
6828 83
6849 83
6862 83
6870 83
7023 83
6840 83
6815 83
6972 83
6894 83
6831 83
7051 84
7030 84
6991 84
7059 84
6977 84
7013 84
7039 84
7023 84
7030 84
7584 84
7507 85
7138 85
7155 85
7262 85
7174 85
7141 85
7169 85
7351 85
7138 85
7142 85
7521 86
7355 86
7334 86
7318 86
7389 86
7330 86
7313 86
7411 86
7554 86
7315 86
7521 87
7507 87
7538 87
7498 87
7505 87
7563 87
7555 87
7487 87
7506 87
7592 87
7689 88
7675 88
7656 88
7792 88
7668 88
7665 88
9118 88
7717 88
7660 88
7719 88
7854 89
7991 89
7825 89
7855 89
7862 89
7994 89
7884 89
7833 89
7909 89
7903 89
8048 90
8024 90
8052 90
8024 90
8077 90
8019 90
8029 90
8057 90
8050 90
8078 90
8167 91
8195 91
8259 91
8236 91
8196 91
8235 91
8170 91
8223 91
8379 91
8198 91
8397 92
8350 92
8386 92
8527 92
8378 92
8371 92
8365 92
8679 92
8486 92
8367 92
8536 93
8574 93
8653 93
8602 93
8605 93
8514 93
8558 93
8604 93
8574 93
8693 93
8783 94
8763 94
8727 94
8718 94
8829 94
9605 94
8761 94
8735 94
8739 94
8737 94
8940 95
9155 95
9020 95
8901 95
8890 95
8984 95
8940 95
8991 95
9029 95
9670 95
9108 96
9124 96
9119 96
9112 96
9208 96
9131 96
9103 96
9126 96
9126 96
9107 96
9307 97
9357 97
9413 97
9329 97
9310 97
9289 97
9324 97
9318 97
9285 97
9279 97
9662 98
9533 98
9521 98
9474 98
9458 98
9476 98
9581 98
9489 98
9551 98
9583 98
9852 99
9714 99
9667 99
9698 99
9662 99
9745 99
9684 99
9664 99
9656 99
9695 99
9982 100
10251 100
9952 100
9900 100
11982 100
9855 100
9865 100
9891 100
9884 100
9856 100
10087 101
10098 101
10047 101
10044 101
10145 101
10160 101
10112 101
10178 101
10174 101
10094 101
10304 102
10282 102
10325 102
10251 102
10276 102
10270 102
10279 102
10279 102
10280 102
10297 102
10486 103
10472 103
10464 103
10536 103
10526 103
10530 103
10547 103
10546 103
10781 103
10583 103
10807 104
10764 104
10760 104
10836 104
10765 104
11023 104
10734 104
10962 104
10768 104
10795 104
11140 105
10964 105
10986 105
10925 105
10957 105
10993 105
10985 105
10950 105
11010 105
10999 105
11156 106
11189 106
11148 106
11149 106
11129 106
11147 106
11147 106
11147 106
11173 106
11549 106
11463 107
11507 107
11434 107
11503 107
11422 107
11442 107
11353 107
11304 107
11342 107
11304 107
11534 108
11536 108
11658 108
11507 108
11528 108
11497 108
11815 108
11568 108
11574 108
11666 108
11814 109
11812 109
11850 109
11790 109
11721 109
11705 109
11769 109
11709 109
11731 109
12069 109
11973 110
12022 110
12017 110
12034 110
12041 110
12029 110
12083 110
12019 110
11907 110
11957 110
12142 111
12261 111
12349 111
12265 111
12211 111
12233 111
12199 111
12162 111
12155 111
12136 111
12382 112
12446 112
12567 112
12440 112
12419 112
12471 112
12440 112
12356 112
12411 112
12487 112
12759 113
12736 113
12611 113
12590 113
12723 113
12709 113
12705 113
12650 113
12649 113
12547 113
12926 114
12740 114
12890 114
12831 114
12859 114
12845 114
13281 114
12898 114
12832 114
12893 114
13006 115
13137 115
13040 115
13076 115
13057 115
13051 115
13006 115
13027 115
13078 115
13024 115
13240 116
13228 116
13264 116
13292 116
13217 116
13323 116
13302 116
13409 116
13316 116
13283 116
13516 117
13684 117
13603 117
13574 117
13523 117
13708 117
14106 117
13987 117
14823 117
14034 117
14245 118
14231 118
14206 118
14288 118
14329 118
14232 118
14163 118
14183 118
50707 118
22818 118
18297 119
18249 119
18285 119
18244 119
17025 119
15061 119
14434 119
14769 119
14424 119
14371 119
15026 120
14749 120
14626 120
14813 120
14578 120
14665 120
14741 120
14652 120
14680 120
14643 120
15124 121
15081 121
15041 121
15140 121
15195 121
15208 121
15121 121
15063 121
15179 121
15152 121
15297 122
15320 122
15440 122
15416 122
17401 122
15420 122
15254 122
15895 122
15354 122
15286 122
15566 123
15633 123
15558 123
15597 123
15634 123
15550 123
15604 123
15663 123
15587 123
15585 123
15898 124
15838 124
15861 124
15842 124
15736 124
15795 124
15885 124
15792 124
15880 124
15952 124
16118 125
16139 125
16122 125
16098 125
16149 125
16235 125
16186 125
16104 125
16169 125
16062 125
16393 126
16379 126
16347 126
16419 126
16357 126
16458 126
16346 126
17893 126
20748 126
20872 126
21081 127
21292 127
21933 127
21083 127
21022 127
21191 127
21005 127
21115 127
21134 127
21079 127
21438 128
21418 128
21485 128
21403 128
21449 128
21481 128
21502 128
21354 128
21328 128
22202 128
21821 129
21694 129
21855 129
21821 129
22296 129
22022 129
22498 129
21818 129
21698 129
21807 129
22118 130
22220 130
22114 130
22184 130
22154 130
22214 130
22126 130
22181 130
22156 130
22145 130
22536 131
22485 131
22537 131
22490 131
22487 131
22460 131
22518 131
22466 131
22450 131
22437 131
22806 132
23275 132
22799 132
30289 132
22320 132
22789 132
22864 132
22781 132
22899 132
22844 132
23187 133
23255 133
23138 133
23185 133
23184 133
23199 133
20918 133
20712 133
20786 133
20555 133
21113 134
21048 134
21068 134
20931 134
21236 134
21184 134
21098 134
21085 134
20993 134
21082 134
21269 135
21301 135
22450 135
21649 135
21320 135
21250 135
21598 135
21789 135
21351 135
20963 135
21719 136
21881 136
21914 136
21604 136
21624 136
21857 136
22719 136
21613 136
21658 136
21814 136
22105 137
21937 137
22032 137
21912 137
22491 137
22134 137
21997 137
22065 137
21964 137
21908 137
22235 138
22414 138
22392 138
22489 138
22486 138
22546 138
22323 138
22259 138
22335 138
22365 138
22590 139
22738 139
22594 139
22585 139
22687 139
22788 139
23247 139
22639 139
22614 139
22630 139
23050 140
23114 140
23205 140
23038 140
20291 140
20159 140
20266 140
20184 140
20260 140
20240 140
21240 141
20576 141
20339 141
20504 141
20420 141
20490 141
20490 141
20480 141
20427 141
20451 141
20750 142
20778 142
20793 142
20626 142
20704 142
20634 142
22612 142
20710 142
20691 142
20728 142
20888 143
21067 143
20961 143
21055 143
21241 143
21058 143
20931 143
21121 143
21110 143
21243 143
21306 144
21388 144
21278 144
21419 144
21292 144
21634 144
21348 144
21442 144
21591 144
21435 144
21721 145
21912 145
21741 145
21670 145
21652 145
21708 145
21730 145
21758 145
21619 145
21665 145
21971 146
22075 146
22100 146
21984 146
21949 146
21813 146
21951 146
21946 146
21852 146
21982 146
22231 147
22193 147
22178 147
22276 147
22258 147
22216 147
25236 147
25369 147
25282 147
25407 147
25630 148
25667 148
25776 148
25693 148
25577 148
25672 148
25764 148
25705 148
25779 148
25699 148
26008 149
26044 149
31047 149
26003 149
26178 149
26043 149
26080 149
26196 149
26112 149
26054 149
26399 150
26342 150
26459 150
26419 150
26380 150
26402 150
26451 150
26406 150
26369 150
26397 150
26722 151
26741 151
26738 151
26689 151
26654 151
26688 151
26716 151
26661 151
26672 151
26728 151
27030 152
27157 152
27051 152
27049 152
27033 152
27003 152
27083 152
27079 152
27088 152
27174 152
27598 153
27592 153
27547 153
27389 153
36097 153
36108 153
36454 153
36210 153
36038 153
36377 153
36822 154
36554 154
36519 154
36530 154
36500 154
36459 154
36557 154
36780 154
36467 154
36486 154
37020 155
36927 155
37152 155
37214 155
36914 155
37132 155
37397 155
37219 155
37663 155
36868 155
37672 156
37485 156
37388 156
37457 156
37469 156
37364 156
37476 156
37372 156
37629 156
37671 156
38503 157
38055 157
37944 157
38001 157
37939 157
38078 157
32627 157
32157 157
32505 157
32366 157
32491 158
32816 158
32659 158
35712 158
32618 158
32678 158
32642 158
32649 158
32697 158
32725 158
33301 159
33250 159
32968 159
34318 159
33084 159
33080 159
32993 159
32965 159
32930 159
32900 159
33350 160
33472 160
33549 160
33625 160
33547 160
33668 160
34006 160
33469 160
33544 160
33812 160
34052 161
33917 161
33892 161
34065 161
34050 161
33813 161
34106 161
33773 161
33843 161
33897 161
34398 162
34279 162
32532 162
30875 162
30838 162
31149 162
30943 162
30877 162
30840 162
30764 162
31070 163
31139 163
31176 163
31109 163
31187 163
31241 163
31233 163
31228 163
31048 163
31169 163
31467 164
31503 164
31652 164
31543 164
31417 164
31356 164
31577 164
31408 164
31600 164
31646 164
32155 165
32054 165
31841 165
31858 165
31828 165
31855 165
31819 165
31842 165
31877 165
32450 165
32239 166
32207 166
32495 166
32210 166
32461 166
32314 166
35057 166
32488 166
32151 166
32286 166
32564 167
33203 167
36480 167
36370 167
36436 167
36607 167
36502 167
36526 167
36490 167
36514 167
36929 168
36910 168
36855 168
36894 168
36927 168
36967 168
36888 168
37049 168
36908 168
36755 168
37389 169
37254 169
37332 169
37339 169
37331 169
37716 169
37551 169
37106 169
37570 169
37233 169
37719 170
38054 170
37700 170
37798 170
37682 170
37652 170
37762 170
37780 170
37778 170
38342 170
38039 171
40674 171
38032 171
38244 171
34250 171
34511 171
35873 171
34265 171
34245 171
34127 171
34498 172
34515 172
34519 172
34490 172
34719 172
34672 172
34625 172
34931 172
34733 172
35499 172
35293 173
35037 173
35020 173
35063 173
35059 173
35201 173
34985 173
35131 173
35000 173
35101 173
35436 174
35469 174
35432 174
35436 174
35534 174
35442 174
35410 174
35489 174
35482 174
35676 174
35787 175
35937 175
35858 175
35943 175
35891 175
35898 175
35820 175
35724 175
38342 175
39883 175
40559 176
40440 176
40545 176
40669 176
40526 176
40507 176
40533 176
40345 176
40566 176
40317 176
41321 177
41132 177
40915 177
41097 177
41047 177
40845 177
40720 177
41016 177
40697 177
40966 177
41511 178
42360 178
41279 178
41551 178
41475 178
41502 178
41481 178
41525 178
43053 178
41638 178
41767 179
41749 179
41995 179
42154 179
42018 179
42056 179
41995 179
37740 179
37563 179
37483 179
37941 180
37957 180
37820 180
37809 180
37839 180
37804 180
37978 180
37802 180
38040 180
38308 180
38442 181
38223 181
38315 181
38336 181
38338 181
38604 181
38292 181
38398 181
38411 181
38402 181
38853 182
38692 182
38720 182
38789 182
38683 182
40707 182
38970 182
38926 182
38667 182
38713 182
39318 183
39322 183
39350 183
39486 183
39131 183
39328 183
39314 183
39237 183
43689 183
43601 183
43980 184
47976 184
44024 184
44104 184
44020 184
44298 184
44015 184
44512 184
44167 184
44160 184
44761 185
44568 185
44585 185
44510 185
44720 185
44658 185
44750 185
44781 185
44450 185
44589 185
45222 186
45787 186
45266 186
45185 186
45366 186
45196 186
45306 186
45161 186
44959 186
45125 186
47345 187
46645 187
45810 187
45154 187
41475 187
42817 187
49799 187
41198 187
41113 187
41948 187
41492 188
41565 188
41578 188
41501 188
41499 188
41385 188
41339 188
41693 188
42061 188
41600 188
42008 189
41869 189
42539 189
41641 189
44733 189
42319 189
42759 189
42973 189
42736 189
46867 189
42784 190
43757 190
42903 190
43441 190
42972 190
42649 190
42532 190
42654 190
42373 190
42657 190
42579 191
47292 191
47612 191
55343 191
54486 191
47883 191
48176 191
47861 191
47555 191
47667 191
48242 192
48487 192
48089 192
48406 192
48052 192
48107 192
48131 192
47885 192
49995 192
48216 192
49483 193
48483 193
48374 193
49321 193
49228 193
48587 193
54461 193
49305 193
48755 193
49116 193
49167 194
49067 194
51647 194
88550 194
88503 194
45187 194
45395 194
50226 194
46204 194
46311 194
49778 195
45552 195
48640 195
50718 195
48250 195
45275 195
46478 195
45671 195
52541 195
47602 195
66515 196
61953 196
50562 196
48960 196
45704 196
86942 196
46728 196
91198 196
49015 196
52602 196
66653 197
60382 197
58714 197
48345 197
46397 197
45735 197
47382 197
59803 197
51628 197
51210 197
60118 198
57837 198
53178 198
51999 198
55860 198
51819 198
52248 198
52394 198
56915 198
53462 198
61345 199
59566 199
54621 199
51936 199
53414 199
59912 199
55466 199
56911 199
55236 199
95659 199
53133 200
52793 200
53872 200
53342 200
55716 200
52878 200
52921 200
53203 200
59882 200
84302 200
76278 201
80422 201
76989 201
80586 201
76652 201
86356 201
76169 201
78086 201
77086 201
78751 201
80600 202
80618 202
78695 202
78762 202
76883 202
77753 202
77646 202
77238 202
77112 202
79365 202
77023 203
77581 203
78456 203
62453 203
65773 203
64206 203
69971 203
72098 203
65123 203
66416 203
64378 204
70999 204
64424 204
64402 204
64230 204
64521 204
67358 204
70868 204
65430 204
65416 204
66299 205
67430 205
66108 205
66946 205
65485 205
66056 205
66476 205
66102 205
65410 205
67303 205
74694 206
55921 206
56689 206
55680 206
55999 206
58799 206
55953 206
56567 206
55862 206
57157 206
56869 207
56231 207
56727 207
56421 207
56980 207
56492 207
56712 207
58664 207
57671 207
58612 207
59264 208
57950 208
57294 208
56775 208
56820 208
60655 208
62076 208
59761 208
56978 208
56880 208
58619 209
61272 209
56707 209
51170 209
51569 209
52496 209
51664 209
53200 209
51597 209
54684 209
53707 210
52231 210
55755 210
52870 210
53525 210
53060 210
53555 210
52197 210
55723 210
52067 210
53359 211
52812 211
54961 211
54156 211
57145 211
54400 211
52481 211
53415 211
53048 211
53701 211
58297 212
57009 212
54349 212
60261 212
46917 212
47205 212
46685 212
47183 212
47530 212
50032 212
47275 213
47001 213
47081 213
48050 213
49955 213
47047 213
48665 213
49349 213
48973 213
47619 213
47855 214
49218 214
47699 214
48479 214
49406 214
49175 214
47993 214
47489 214
48517 214
48138 214
49265 215
48582 215
48055 215
51624 215
50819 215
50720 215
51169 215
51862 215
51972 215
54350 215
54935 216
55997 216
59720 216
55697 216
55139 216
66940 216
55624 216
57862 216
57220 216
58106 216
57578 217
56935 217
55874 217
55584 217
59488 217
57812 217
56347 217
55549 217
61881 217
55521 217
57567 218
56292 218
58634 218
56089 218
56250 218
56068 218
61495 218
57064 218
57967 218
59584 218
75418 219
74666 219
75102 219
76740 219
74531 219
76822 219
74463 219
75463 219
74074 219
74402 219
75625 220
74941 220
77792 220
76121 220
74704 220
75161 220
75169 220
74857 220
75043 220
75228 220
78408 221
75589 221
75906 221
76616 221
75544 221
64392 221
66718 221
63927 221
75378 221
64387 221
65170 222
64599 222
69114 222
64840 222
65099 222
64742 222
65242 222
65023 222
66412 222
64870 222
65599 223
65721 223
65387 223
69352 223
66455 223
65604 223
65648 223
68413 223
67462 223
66124 223
65887 224
65806 224
65900 224
71706 224
79819 224
78281 224
77848 224
77177 224
77691 224
77493 224
78062 225
79374 225
77481 225
77409 225
78064 225
77977 225
83549 225
77536 225
79168 225
78451 225
78316 226
79001 226
79614 226
79249 226
81421 226
80223 226
78752 226
78239 226
68751 226
68570 226
70882 227
68627 227
70201 227
70920 227
68204 227
67904 227
68062 227
68497 227
67948 227
73209 227
68260 228
68202 228
68148 228
71586 228
68659 228
69405 228
76378 228
68242 228
68687 228
68090 228
68679 229
70318 229
69010 229
70568 229
71717 229
64737 229
64763 229
62262 229
66132 229
64452 229
62913 230
62945 230
62878 230
66118 230
62939 230
64336 230
63726 230
63234 230
62698 230
63517 230
63062 231
63901 231
65231 231
64468 231
63041 231
63387 231
63953 231
64959 231
69934 231
64435 231
67081 232
65698 232
65348 232
63953 232
74123 232
71194 232
73262 232
72420 232
71215 232
73524 232
76497 233
75026 233
72690 233
73782 233
73092 233
77227 233
72013 233
74563 233
73248 233
72757 233
75267 234
72144 234
75118 234
75186 234
77791 234
72196 234
77917 234
84633 234
74339 234
78762 234
68160 235
75091 235
77259 235
65795 235
68189 235
68420 235
67256 235
68845 235
72128 235
69093 235
75394 236
65859 236
70743 236
68285 236
65698 236
49026 236
68976 236
66222 236
65615 236
66488 236
67288 237
67743 237
66241 237
66029 237
66290 237
66925 237
66284 237
69290 237
79124 237
76019 237
76805 238
78365 238
81189 238
75092 238
79379 238
79085 238
81557 238
80898 238
74670 238
76151 238
83652 239
79508 239
79710 239
77633 239
77574 239
80883 239
76534 239
78008 239
76921 239
78987 239
75694 240
76433 240
80056 240
80315 240
78264 240
69277 240
73973 240
80934 240
73239 240
69435 240
92941 241
100501 241
73748 241
84490 241
104446 241
75715 241
76977 241
79640 241
70148 241
82928 241
82181 242
91496 242
68866 242
94720 242
77427 242
76859 242
69487 242
82597 242
77861 242
77862 242
77706 243
78168 243
77838 243
78161 243
84321 243
85192 243
78117 243
91402 243
79107 243
77309 243
79598 244
79475 244
78938 244
79727 244
83389 244
93304 244
82138 244
78067 244
77119 244
87273 244
80481 245
79949 245
74124 245
74379 245
73698 245
79029 245
77551 245
66938 245
77043 245
70663 245
79241 246
71918 246
71438 246
77544 246
73795 246
79865 246
71492 246
88105 246
72800 246
85112 246
73350 247
73665 247
73500 247
78101 247
77842 247
74649 247
78648 247
78755 247
84018 247
80791 247
79186 248
81780 248
88721 248
82135 248
84596 248
79222 248
79126 248
79008 248
81041 248
80762 248
83945 249
81941 249
81285 249
85696 249
83070 249
83317 249
80057 249
82645 249
80716 249
80181 249
88608 250
103591 250
101625 250
108613 250
104149 250
106247 250
103211 250
106568 250
106299 250
104830 250
104903 251
113397 251
106486 251
106376 251
114903 251
96412 251
105085 251
102217 251
85142 251
99894 251
124590 252
93259 252
116256 252
102670 252
100424 252
104702 252
106051 252
98681 252
92130 252
106037 252
92409 253
96965 253
93762 253
91906 253
90455 253
90912 253
84753 253
82123 253
79321 253
83801 253
82646 254
82761 254
83734 254
82097 254
84467 254
82778 254
82087 254
82333 254
82259 254
84027 254
83505 255
86113 255
83523 255
97383 255
87292 255
82416 255
82296 255
84629 255
83652 255
79099 255
76559 256
92906 256
69326 256
76706 256
82264 256
76616 256
80099 256
79679 256
80778 256
81099 256
78685 257
90406 257
85581 257
79401 257
82076 257
85490 257
78136 257
79722 257
79460 257
75422 257
81094 258
79897 258
82236 258
88339 258
86991 258
85754 258
86993 258
86624 258
82665 258
83235 258
84832 259
88079 259
84715 259
88759 259
86423 259
84442 259
85717 259
90006 259
85256 259
86132 259
87239 260
87057 260
94789 260
88264 260
85069 260
111955 260
109180 260
109308 260
109301 260
109307 260
111849 261
108365 261
114558 261
112831 261
109180 261
109962 261
109361 261
108296 261
109851 261
110127 261
111477 262
97808 262
97164 262
95458 262
95608 262
95787 262
96456 262
94905 262
95498 262
95889 262
96825 263
97084 263
96711 263
97709 263
98082 263
102630 263
97821 263
96730 263
96612 263
95149 263
91144 264
87297 264
88371 264
87392 264
91418 264
88877 264
87444 264
86909 264
88603 264
85290 264
86852 265
86485 265
91482 265
87457 265
87290 265
90150 265
87669 265
87186 265
88284 265
86530 265
87061 266
81301 266
82133 266
82858 266
86900 266
81536 266
84886 266
83441 266
81634 266
83280 266
88784 267
81972 267
83683 267
85178 267
84905 267
83509 267
82480 267
81545 267
83258 267
81914 267
84368 268
84095 268
82156 268
82755 268
90479 268
89253 268
88108 268
87002 268
88306 268
90163 268
88197 269
87858 269
88456 269
87605 269
91159 269
93039 269
89013 269
90629 269
88599 269
95440 269
89750 270
89902 270
88991 270
90737 270
90248 270
84697 270
84620 270
84109 270
86265 270
82914 270
84445 271
86395 271
85856 271
86602 271
83996 271
82947 271
101807 271
83272 271
